Sequence_Name,GenBank_Accn,Sequence_Length
Contig2323,PTTO01003279.1,4463
Contig2324,PTTO01002905.1,14997
Contig2325,PTTO01004198.1,25490
Contig2326,PTTO01003787.1,31925
Contig2327,PTTO01003184.1,91724
Contig2328,PTTO01002795.1,8287
Contig2329,PTTO01001544.1,381619
Contig233,PTTO01002683.1,184753
Contig2330,PTTO01004165.1,38260
Contig2331,PTTO01000212.1,30111
Contig2332,PTTO01000952.1,41271
Contig2333,PTTO01003485.1,70703
Contig2334,PTTO01004245.1,52609
Contig2335,PTTO01003327.1,33562
Contig2336,PTTO01002833.1,44058
Contig2337,PTTO01002096.1,16946
Contig2338,PTTO01000439.1,37519
Contig2339,PTTO01000731.1,57947
Contig234,PTTO01002910.1,77813
Contig2340,PTTO01002417.1,4781
Contig2341,PTTO01003974.1,10851
Contig2342,PTTO01003919.1,51127
Contig2343,PTTO01003094.1,101085
Contig2344,PTTO01002404.1,31517
Contig2345,PTTO01001963.1,10845
Contig2346,PTTO01000807.1,28730
Contig2347,PTTO01001094.1,92971
Contig2348,PTTO01000445.1,28985
Contig2349,PTTO01003461.1,20495
Contig235,PTTO01001425.1,2234854
Contig2350,PTTO01003928.1,27801
Contig2351,PTTO01003115.1,44644
Contig2352,PTTO01002975.1,31323
Contig2353,PTTO01002464.1,32048
Contig2354,PTTO01001684.1,21699
Contig2355,PTTO01001583.1,65790
Contig2356,PTTO01001009.1,16148
Contig2357,PTTO01000485.1,24115
Contig2358,PTTO01004379.1,29523
Contig2359,PTTO01004186.1,27987
Contig236,PTTO01002128.1,2671088
Contig2360,PTTO01002306.1,32968
Contig2361,PTTO01002937.1,11897
Contig2362,PTTO01003462.1,17749
Contig2363,PTTO01004115.1,15837
Contig2364,PTTO01000367.1,7828
Contig2365,PTTO01000830.1,54043
Contig2366,PTTO01001622.1,15604
Contig2367,PTTO01002114.1,20642
Contig2368,PTTO01002936.1,25167
Contig2369,PTTO01003550.1,33079
Contig237,PTTO01003651.1,20660
Contig2370,PTTO01001486.1,35452
Contig2371,PTTO01003495.1,52928
Contig2372,PTTO01004010.1,43771
Contig2373,PTTO01002480.1,19742
Contig2374,PTTO01002922.1,14805
Contig2375,PTTO01001383.1,30583
Contig2376,PTTO01002447.1,16323
Contig2377,PTTO01000457.1,45387
Contig2378,PTTO01000940.1,58336
Contig2379,PTTO01003472.1,4737
Contig238,PTTO01004176.1,78477
Contig2380,PTTO01003633.1,16999
Contig2381,PTTO01001859.1,25165
Contig2382,PTTO01001356.1,32023
Contig2383,PTTO01002734.1,80764
Contig2384,PTTO01001967.1,45519
Contig2385,PTTO01003487.1,53314
Contig2386,PTTO01003305.1,98696
Contig2387,PTTO01000210.1,85469
Contig2388,PTTO01003973.1,10865
Contig2389,PTTO01002444.1,55520
Contig239,PTTO01002349.1,235380
Contig2390,PTTO01001623.1,77467
Contig2391,PTTO01002735.1,33466
Contig2392,PTTO01003255.1,36547
Contig2393,PTTO01003746.1,29257
Contig2394,PTTO01003669.1,1772
Contig2395,PTTO01000570.1,36987
Contig2396,PTTO01000894.1,38367
Contig2397,PTTO01002529.1,105490
Contig2398,PTTO01001934.1,37003
Contig2399,PTTO01003079.1,110464
Contig24,PTTO01000115.1,2133401
Contig240,PTTO01001230.1,413172
Contig2400,PTTO01001920.1,25740
Contig2401,PTTO01001158.1,31974
Contig2402,PTTO01002924.1,20558
Contig2403,PTTO01002706.1,32024
Contig2404,PTTO01003303.1,15493
Contig2405,PTTO01002672.1,27966
Contig2406,PTTO01003600.1,68177
Contig2407,PTTO01003803.1,28642
Contig2408,PTTO01000005.1,95253
Contig2409,PTTO01001924.1,11924
Contig241,PTTO01001706.1,66926
Contig2410,PTTO01003365.1,101218
Contig2411,PTTO01002854.1,29443
Contig2412,PTTO01004302.1,7724
Contig2413,PTTO01003841.1,15016
Contig2414,PTTO01004334.1,112038
Contig2415,PTTO01003817.1,81686
Contig2416,PTTO01000890.1,8138
Contig2417,PTTO01000250.1,37223
Contig2418,PTTO01001533.1,48378
Contig2419,PTTO01003191.1,24137
Contig242,PTTO01000222.1,43344
Contig2420,PTTO01003577.1,41452
Contig2421,PTTO01004233.1,22969
Contig2422,PTTO01004547.1,32924
Contig2423,PTTO01000316.1,11268
Contig2424,PTTO01000051.1,105737
Contig2425,PTTO01000644.1,36079
Contig2426,PTTO01001303.1,32950
Contig2427,PTTO01001817.1,23380
Contig2428,PTTO01002988.1,8737
Contig2429,PTTO01003203.1,75630
Contig243,PTTO01000219.1,221047
Contig2430,PTTO01000124.1,21965
Contig2431,PTTO01001882.1,86844
Contig2432,PTTO01001375.1,16800
Contig2433,PTTO01003198.1,16942
Contig2434,PTTO01002402.1,27612
Contig2435,PTTO01002892.1,17880
Contig2436,PTTO01003420.1,42867
Contig2437,PTTO01000588.1,7525
Contig2438,PTTO01001102.1,6135
Contig2439,PTTO01000591.1,52377
Contig244,PTTO01000776.1,164110
Contig2440,PTTO01003163.1,77043
Contig2441,PTTO01003752.1,15153
Contig2442,PTTO01004118.1,16651
Contig2443,PTTO01000196.1,76397
Contig2444,PTTO01000065.1,16794
Contig2445,PTTO01000763.1,69322
Contig2446,PTTO01001256.1,37461
Contig2447,PTTO01002586.1,28005
Contig2448,PTTO01002600.1,105044
Contig2449,PTTO01003062.1,224825
Contig245,PTTO01004554.1,2865402
Contig2450,PTTO01000268.1,549727
Contig2451,PTTO01000733.1,40219
Contig2452,PTTO01001616.1,58843
Contig2453,PTTO01002127.1,54758
Contig2454,PTTO01001625.1,1338972
Contig2455,PTTO01002130.1,918
Contig2456,PTTO01003003.1,33148
Contig2457,PTTO01003511.1,13436
Contig2458,PTTO01004274.1,20840
Contig2459,PTTO01000253.1,18182
Contig246,PTTO01002707.1,243573
Contig2460,PTTO01001784.1,41860
Contig2461,PTTO01001323.1,41226
Contig2462,PTTO01003394.1,54596
Contig2463,PTTO01002608.1,61502
Contig2464,PTTO01003019.1,16168
Contig2465,PTTO01004410.1,27840
Contig2466,PTTO01004063.1,9146
Contig2467,PTTO01003673.1,3480
Contig2468,PTTO01000435.1,7492
Contig2469,PTTO01001767.1,2820759
Contig247,PTTO01002571.1,587650
Contig2470,PTTO01003240.1,37197
Contig2471,PTTO01001574.1,21856
Contig2472,PTTO01004549.1,19298
Contig2473,PTTO01002262.1,110808
Contig2474,PTTO01000650.1,50333
Contig2475,PTTO01003645.1,11206
Contig2476,PTTO01001902.1,12590
Contig2477,PTTO01000824.1,8980
Contig2478,PTTO01001434.1,27911
Contig2479,PTTO01002209.1,37803
Contig248,PTTO01003369.1,223259
Contig2480,PTTO01002883.1,41459
Contig2481,PTTO01002388.1,30405
Contig2482,PTTO01000468.1,23330
Contig2483,PTTO01001960.1,35212
Contig2484,PTTO01003864.1,16628
Contig2485,PTTO01000594.1,27859
Contig2486,PTTO01002500.1,4994
Contig2487,PTTO01004159.1,26749
Contig2488,PTTO01002043.1,44468
Contig2489,PTTO01001455.1,32146
Contig249,PTTO01001319.1,200918
Contig2490,PTTO01001712.1,31879
Contig2491,PTTO01003382.1,7979
Contig2492,PTTO01000676.1,35697
Contig2493,PTTO01000092.1,36007
Contig2494,PTTO01003743.1,18952
Contig2495,PTTO01000701.1,48785
Contig2496,PTTO01002692.1,607246
Contig2497,PTTO01004355.1,35966
Contig2498,PTTO01003344.1,27732
Contig2499,PTTO01002673.1,13424
Contig25,PTTO01004492.1,12158578
Contig250,PTTO01004192.1,274199
Contig2500,PTTO01001155.1,27048
Contig2501,PTTO01001788.1,4732
Contig2502,PTTO01002070.1,20355
Contig2503,PTTO01000674.1,16631
Contig2504,PTTO01000427.1,77335
Contig2505,PTTO01000614.1,28368
Contig2506,PTTO01003704.1,72822
Contig2507,PTTO01004537.1,76367
Contig2508,PTTO01003017.1,41781
Contig2509,PTTO01003194.1,37102
Contig251,PTTO01002261.1,14518341
Contig2510,PTTO01001377.1,30825
Contig2511,PTTO01002879.1,30695
Contig2512,PTTO01004013.1,83581
Contig2513,PTTO01003517.1,44538
Contig2514,PTTO01001065.1,23615
Contig2515,PTTO01000288.1,34935
Contig2516,PTTO01000702.1,26889
Contig2517,PTTO01000228.1,17747
Contig2518,PTTO01001686.1,24190
Contig2519,PTTO01001312.1,42251
Contig252,PTTO01002891.1,6818206
Contig2520,PTTO01000237.1,44339
Contig2521,PTTO01003723.1,63457
Contig2522,PTTO01003220.1,43377
Contig2523,PTTO01002690.1,17542
Contig2524,PTTO01002721.1,64383
Contig2525,PTTO01002183.1,79906
Contig2526,PTTO01001135.1,37546
Contig2527,PTTO01001348.1,19013
Contig2528,PTTO01000158.1,27464
Contig2529,PTTO01004037.1,31729
Contig253,PTTO01001222.1,95921
Contig2530,PTTO01002791.1,69759
Contig2531,PTTO01002798.1,10256
Contig2532,PTTO01001167.1,28654
Contig2533,PTTO01000658.1,45159
Contig2534,PTTO01000184.1,44141
Contig2535,PTTO01000899.1,48823
Contig2536,PTTO01003697.1,22921
Contig2537,PTTO01004207.1,25098
Contig2538,PTTO01003250.1,47586
Contig2539,PTTO01002727.1,61681
Contig254,PTTO01001696.1,15488722
Contig2540,PTTO01002703.1,32955
Contig2541,PTTO01003859.1,19028
Contig2542,PTTO01004506.1,31150
Contig2543,PTTO01000023.1,60735
Contig2544,PTTO01000711.1,69913
Contig2545,PTTO01000342.1,10959
Contig2546,PTTO01000861.1,51008
Contig2547,PTTO01001646.1,40077
Contig2548,PTTO01002155.1,33754
Contig2549,PTTO01003311.1,8989
Contig255,PTTO01000220.1,188509
Contig2550,PTTO01003738.1,169520
Contig2551,PTTO01000140.1,89439
Contig2552,PTTO01000799.1,34120
Contig2553,PTTO01001087.1,24837
Contig2554,PTTO01001760.1,51614
Contig2555,PTTO01003076.1,46634
Contig2556,PTTO01002375.1,20886
Contig2557,PTTO01002089.1,33475
Contig2558,PTTO01001427.1,18449
Contig2559,PTTO01004025.1,188671
Contig256,PTTO01000649.1,307900
Contig2560,PTTO01000628.1,78587
Contig2561,PTTO01000135.1,17398
Contig2562,PTTO01001910.1,17361
Contig2563,PTTO01003114.1,7313
Contig2564,PTTO01002627.1,31043
Contig2565,PTTO01003168.1,33707
Contig2566,PTTO01002598.1,2153
Contig2567,PTTO01004495.1,99898
Contig2568,PTTO01003926.1,3176
Contig2569,PTTO01000584.1,27889
Contig257,PTTO01003444.1,1152992
Contig2570,PTTO01001178.1,40491
Contig2571,PTTO01003945.1,25369
Contig2572,PTTO01003219.1,87851
Contig2573,PTTO01000282.1,73936
Contig2574,PTTO01004209.1,45930
Contig2575,PTTO01001331.1,15460
Contig2576,PTTO01000549.1,33329
Contig2577,PTTO01003328.1,50789
Contig2578,PTTO01002677.1,23183
Contig2579,PTTO01004357.1,41215
Contig258,PTTO01004543.1,379025
Contig2580,PTTO01004437.1,95023
Contig2581,PTTO01002766.1,64656
Contig2582,PTTO01000639.1,38772
Contig2583,PTTO01003595.1,43108
Contig2584,PTTO01001833.1,1515
Contig2585,PTTO01000928.1,11980
Contig2586,PTTO01001465.1,4621
Contig2587,PTTO01002230.1,10659
Contig2588,PTTO01002285.1,42523
Contig2589,PTTO01002915.1,21141
Contig259,PTTO01002709.1,270287
Contig2590,PTTO01000901.1,79728
Contig2591,PTTO01000277.1,20758
Contig2592,PTTO01000036.1,4747
Contig2593,PTTO01001632.1,20307
Contig2594,PTTO01001338.1,13398
Contig2595,PTTO01002917.1,13160
Contig2596,PTTO01002523.1,23582
Contig2597,PTTO01004219.1,42210
Contig2598,PTTO01003939.1,23995
Contig2599,PTTO01001044.1,43344
Contig26,PTTO01001370.1,38411765
Contig260,PTTO01004481.1,9178705
Contig2600,PTTO01001772.1,53858
Contig2601,PTTO01004290.1,61049
Contig2602,PTTO01003938.1,19198
Contig2603,PTTO01000153.1,50734
Contig2604,PTTO01004359.1,18957
Contig2605,PTTO01001121.1,15472
Contig2606,PTTO01000760.1,16346
Contig2607,PTTO01001738.1,19622
Contig2608,PTTO01001233.1,43708
Contig2609,PTTO01003757.1,93490
Contig261,PTTO01002976.1,1214806
Contig2610,PTTO01003428.1,33526
Contig2611,PTTO01001756.1,42544
Contig2612,PTTO01000534.1,22668
Contig2613,PTTO01003180.1,21259
Contig2614,PTTO01001437.1,28191
Contig2615,PTTO01004360.1,24444
Contig2616,PTTO01002961.1,43792
Contig2617,PTTO01003465.1,34669
Contig2618,PTTO01004101.1,50764
Contig2619,PTTO01000433.1,93670
Contig262,PTTO01003206.1,133730
Contig2620,PTTO01003621.1,27254
Contig2621,PTTO01001860.1,32462
Contig2622,PTTO01000404.1,155877
Contig2623,PTTO01003181.1,68214
Contig2624,PTTO01001531.1,15649
Contig2625,PTTO01004443.1,27369
Contig2626,PTTO01002901.1,27076
Contig2627,PTTO01003503.1,35052
Contig2628,PTTO01004260.1,89545
Contig2629,PTTO01000330.1,26828
Contig263,PTTO01001725.1,77591
Contig2630,PTTO01001626.1,5330
Contig2631,PTTO01002649.1,14439
Contig2632,PTTO01003347.1,33362
Contig2633,PTTO01000813.1,28028
Contig2634,PTTO01004347.1,20627
Contig2635,PTTO01000190.1,25644
Contig2636,PTTO01000724.1,58532
Contig2637,PTTO01001631.1,2224
Contig2638,PTTO01001735.1,6784
Contig2639,PTTO01002270.1,52883
Contig264,PTTO01002503.1,79525
Contig2640,PTTO01003107.1,66650
Contig2641,PTTO01004425.1,53763
Contig2642,PTTO01004050.1,50969
Contig2643,PTTO01000958.1,7398
Contig2644,PTTO01003894.1,23224
Contig2645,PTTO01001931.1,14199
Contig2646,PTTO01000176.1,23263
Contig2647,PTTO01002930.1,28949
Contig2648,PTTO01001294.1,13190
Contig2649,PTTO01002801.1,16785
Contig265,PTTO01001027.1,5326365
Contig2650,PTTO01000537.1,58493
Contig2651,PTTO01000438.1,52911
Contig2652,PTTO01001062.1,35603
Contig2653,PTTO01001442.1,162774
Contig2654,PTTO01002103.1,58146
Contig2655,PTTO01003228.1,44980
Contig2656,PTTO01003630.1,52756
Contig2657,PTTO01003979.1,60789
Contig2658,PTTO01000059.1,18409
Contig2659,PTTO01000164.1,59975
Contig266,PTTO01001156.1,355672
Contig2660,PTTO01003037.1,14568
Contig2661,PTTO01000341.1,17022
Contig2662,PTTO01004153.1,90367
Contig2663,PTTO01000841.1,42990
Contig2664,PTTO01000363.1,3732
Contig2665,PTTO01002343.1,18185
Contig2666,PTTO01001612.1,23046
Contig2667,PTTO01002826.1,45858
Contig2668,PTTO01002329.1,40964
Contig2669,PTTO01004412.1,42715
Contig267,PTTO01004296.1,84968
Contig2670,PTTO01002481.1,29353
Contig2671,PTTO01002979.1,36205
Contig2672,PTTO01001982.1,47278
Contig2673,PTTO01001941.1,35372
Contig2674,PTTO01001302.1,25911
Contig2675,PTTO01000024.1,21019
Contig2676,PTTO01004238.1,53468
Contig2677,PTTO01003907.1,44749
Contig2678,PTTO01003262.1,102295
Contig2679,PTTO01003543.1,543465
Contig268,PTTO01000470.1,109483
Contig2680,PTTO01002533.1,16571
Contig2681,PTTO01001933.1,75703
Contig2682,PTTO01001285.1,42099
Contig2683,PTTO01002122.1,40404
Contig2684,PTTO01001600.1,18781
Contig2685,PTTO01000864.1,39799
Contig2686,PTTO01000399.1,36692
Contig2687,PTTO01003781.1,35658
Contig2688,PTTO01003081.1,79785
Contig2689,PTTO01002240.1,65366
Contig269,PTTO01003599.1,448321
Contig2690,PTTO01002198.1,17318
Contig2691,PTTO01003877.1,19304
Contig2692,PTTO01004515.1,45811
Contig2693,PTTO01002572.1,40784
Contig2694,PTTO01004004.1,45514
Contig2695,PTTO01002483.1,17397
Contig2696,PTTO01002998.1,85038
Contig2697,PTTO01001999.1,12415
Contig2698,PTTO01000499.1,27831
Contig2699,PTTO01001991.1,6939
Contig27,PTTO01000550.1,1826840
Contig270,PTTO01000015.1,708557
Contig2700,PTTO01002292.1,32909
Contig2701,PTTO01000707.1,32238
Contig2702,PTTO01001436.1,848
Contig2703,PTTO01004402.1,24442
Contig2704,PTTO01000508.1,21955
Contig2705,PTTO01003417.1,39512
Contig2706,PTTO01004109.1,46303
Contig2707,PTTO01002438.1,69252
Contig2708,PTTO01003052.1,73827
Contig2709,PTTO01001394.1,128762
Contig271,PTTO01004305.1,2259713
Contig2710,PTTO01003103.1,23713
Contig2711,PTTO01001109.1,34010
Contig2712,PTTO01004011.1,26986
Contig2713,PTTO01001451.1,41993
Contig2714,PTTO01000971.1,43707
Contig2715,PTTO01002385.1,41843
Contig2716,PTTO01002066.1,27705
Contig2717,PTTO01003071.1,13974
Contig2718,PTTO01002367.1,58985
Contig2719,PTTO01000451.1,45401
Contig272,PTTO01003566.1,42618
Contig2720,PTTO01004532.1,28584
Contig2721,PTTO01001306.1,37157
Contig2722,PTTO01000906.1,41819
Contig2723,PTTO01002290.1,73046
Contig2724,PTTO01001952.1,50626
Contig2725,PTTO01003323.1,37066
Contig2726,PTTO01002931.1,27937
Contig2727,PTTO01004307.1,34696
Contig2728,PTTO01003929.1,44807
Contig2729,PTTO01000735.1,12677
Contig273,PTTO01003936.1,115078
Contig2730,PTTO01004438.1,18792
Contig2731,PTTO01001587.1,26662
Contig2732,PTTO01001117.1,26213
Contig2733,PTTO01000035.1,46868
Contig2734,PTTO01001923.1,16159
Contig2735,PTTO01003584.1,86761
Contig2736,PTTO01000936.1,40561
Contig2737,PTTO01004341.1,13989
Contig2738,PTTO01003725.1,11909
Contig2739,PTTO01003330.1,31817
Contig274,PTTO01003169.1,2272393
Contig2740,PTTO01001778.1,37348
Contig2741,PTTO01000175.1,297101
Contig2742,PTTO01000802.1,121741
Contig2743,PTTO01000398.1,38795
Contig2744,PTTO01001029.1,20665
Contig2745,PTTO01003955.1,8247
Contig2746,PTTO01004496.1,39217
Contig2747,PTTO01003299.1,56392
Contig2748,PTTO01001457.1,30469
Contig2749,PTTO01001379.1,14236
Contig275,PTTO01001724.1,3157203
Contig2750,PTTO01001660.1,39208
Contig2751,PTTO01004375.1,28406
Contig2752,PTTO01002384.1,967575
Contig2753,PTTO01000745.1,25768
Contig2754,PTTO01003457.1,46944
Contig2755,PTTO01001745.1,17678
Contig2756,PTTO01001031.1,19931
Contig2757,PTTO01001637.1,13908
Contig2758,PTTO01002004.1,34706
Contig2759,PTTO01002407.1,9639
Contig276,PTTO01001241.1,19941453
Contig2760,PTTO01002525.1,28334
Contig2761,PTTO01000615.1,48689
Contig2762,PTTO01003922.1,13118
Contig2763,PTTO01000183.1,38645
Contig2764,PTTO01000345.1,72388
Contig2765,PTTO01001159.1,18152
Contig2766,PTTO01001887.1,67089
Contig2767,PTTO01002733.1,58449
Contig2768,PTTO01002951.1,9116
Contig2769,PTTO01003758.1,16264
Contig277,PTTO01001326.1,62436
Contig2770,PTTO01000855.1,57825
Contig2771,PTTO01001630.1,67690
Contig2772,PTTO01002146.1,35681
Contig2773,PTTO01001541.1,14136
Contig2774,PTTO01002190.1,71555
Contig2775,PTTO01002823.1,64997
Contig2776,PTTO01003500.1,35823
Contig2777,PTTO01004363.1,9844
Contig2778,PTTO01000145.1,9287
Contig2779,PTTO01001077.1,10724
Contig278,PTTO01000572.1,148019
Contig2780,PTTO01000740.1,33566
Contig2781,PTTO01001176.1,86997
Contig2782,PTTO01001803.1,14728
Contig2783,PTTO01003460.1,27074
Contig2784,PTTO01002835.1,50209
Contig2785,PTTO01003593.1,4939
Contig2786,PTTO01004138.1,4207
Contig2787,PTTO01000878.1,48329
Contig2788,PTTO01001615.1,20734
Contig2789,PTTO01002112.1,32320
Contig279,PTTO01000372.1,37877
Contig2790,PTTO01001337.1,36090
Contig2791,PTTO01001552.1,27903
Contig2792,PTTO01000033.1,7730
Contig2793,PTTO01000893.1,26371
Contig2794,PTTO01000267.1,75762
Contig2795,PTTO01004158.1,71557
Contig2796,PTTO01003646.1,2406
Contig2797,PTTO01002502.1,24306
Contig2798,PTTO01001711.1,20009
Contig2799,PTTO01001202.1,12101
Contig28,PTTO01003223.1,70292
Contig280,PTTO01000242.1,111711
Contig2800,PTTO01002568.1,8051
Contig2801,PTTO01002959.1,9293
Contig2802,PTTO01003490.1,15085
Contig2803,PTTO01003978.1,8312
Contig2804,PTTO01004092.1,52800
Contig2805,PTTO01001067.1,26776
Contig2806,PTTO01001547.1,43718
Contig2807,PTTO01002069.1,9895
Contig2808,PTTO01001938.1,70723
Contig2809,PTTO01002517.1,10086
Contig281,PTTO01001883.1,6986392
Contig2810,PTTO01003664.1,60288
Contig2811,PTTO01002829.1,5702990
Contig2812,PTTO01002100.1,47705
Contig2813,PTTO01001816.1,28676
Contig2814,PTTO01001415.1,38823
Contig2815,PTTO01000904.1,48341
Contig2816,PTTO01000429.1,27822
Contig2817,PTTO01004509.1,95207
Contig2818,PTTO01004136.1,27955
Contig2819,PTTO01003243.1,48513
Contig282,PTTO01001114.1,8000999
Contig2820,PTTO01003166.1,51734
Contig2821,PTTO01001639.1,56872
Contig2822,PTTO01001835.1,14977
Contig2823,PTTO01000340.1,93326
Contig2824,PTTO01000620.1,95221
Contig2825,PTTO01003418.1,48267
Contig2826,PTTO01004043.1,21037
Contig2827,PTTO01004486.1,41399
Contig2828,PTTO01002748.1,28663
Contig2829,PTTO01003159.1,95634
Contig283,PTTO01003354.1,901883
Contig2830,PTTO01003393.1,10113
Contig2831,PTTO01002884.1,31658
Contig2832,PTTO01003554.1,15840
Contig2833,PTTO01004230.1,17154
Contig2834,PTTO01000324.1,10557
Contig2835,PTTO01001250.1,4362
Contig2836,PTTO01001751.1,74318
Contig2837,PTTO01003082.1,46146
Contig2838,PTTO01002437.1,33283
Contig2839,PTTO01004055.1,43991
Contig284,PTTO01002691.1,131684
Contig2840,PTTO01001191.1,5515
Contig2841,PTTO01004556.1,38273
Contig2842,PTTO01000452.1,33622
Contig2843,PTTO01003212.1,9838
Contig2844,PTTO01003830.1,106525
Contig2845,PTTO01001318.1,12530
Contig2846,PTTO01002526.1,31447
Contig2847,PTTO01000020.1,17786
Contig2848,PTTO01000621.1,1763
Contig2849,PTTO01003855.1,15960
Contig285,PTTO01004385.1,1418138
Contig2850,PTTO01003193.1,18135
Contig2851,PTTO01003834.1,72785
Contig2852,PTTO01004527.1,16281
Contig2853,PTTO01000402.1,22634
Contig2854,PTTO01000874.1,102660
Contig2855,PTTO01001662.1,54531
Contig2856,PTTO01002162.1,37919
Contig2857,PTTO01004005.1,12849
Contig2858,PTTO01002785.1,51396
Contig2859,PTTO01000752.1,65563
Contig286,PTTO01003751.1,174195
Contig2860,PTTO01001432.1,13806
Contig2861,PTTO01003042.1,24531
Contig2862,PTTO01002236.1,41835
Contig2863,PTTO01000112.1,14895
Contig2864,PTTO01004008.1,42540
Contig2865,PTTO01001096.1,85256
Contig2866,PTTO01000444.1,15267
Contig2867,PTTO01002704.1,95472
Contig2869,PTTO01003747.1,32256
Contig287,PTTO01000538.1,761578
Contig2870,PTTO01002304.1,52988
Contig2871,PTTO01002873.1,11263
Contig2872,PTTO01003661.1,173800
Contig2873,PTTO01003782.1,19143
Contig2874,PTTO01000346.1,5280
Contig2875,PTTO01000834.1,48560
Contig2876,PTTO01001651.1,95244
Contig2877,PTTO01002142.1,10169
Contig2878,PTTO01003993.1,29497
Contig2879,PTTO01002433.1,29341
Contig288,PTTO01000007.1,88324
Contig2880,PTTO01000293.1,41912
Contig2881,PTTO01000914.1,40204
Contig2882,PTTO01001534.1,98811
Contig2883,PTTO01001169.1,47421
Contig2884,PTTO01002288.1,40272
Contig2885,PTTO01002935.1,17413
Contig2886,PTTO01003544.1,3651
Contig2887,PTTO01004235.1,205508
Contig2888,PTTO01002180.1,31544
Contig2889,PTTO01000423.1,15494
Contig289,PTTO01001904.1,740609
Contig2890,PTTO01003638.1,36089
Contig2891,PTTO01004157.1,14134
Contig2892,PTTO01000397.1,14644
Contig2893,PTTO01000870.1,37365
Contig2894,PTTO01002252.1,34465
Contig2895,PTTO01001614.1,26285
Contig2896,PTTO01003648.1,58877
Contig2897,PTTO01004170.1,37799
Contig2898,PTTO01000823.1,46173
Contig2899,PTTO01003629.1,48880
Contig29,PTTO01001847.1,5525444
Contig290,PTTO01000335.1,6714880
Contig2900,PTTO01002768.1,34347
Contig2901,PTTO01002132.1,22677
Contig2902,PTTO01000350.1,58936
Contig2903,PTTO01004285.1,34160
Contig2904,PTTO01000739.1,42399
Contig2905,PTTO01000137.1,63652
Contig2906,PTTO01001752.1,23751
Contig2907,PTTO01001124.1,16353
Contig2908,PTTO01003336.1,44944
Contig2909,PTTO01002675.1,45734
Contig291,PTTO01003546.1,34103
Contig2910,PTTO01000583.1,99117
Contig2911,PTTO01002214.1,73701
Contig2912,PTTO01000411.1,15283
Contig2913,PTTO01000822.1,22928
Contig2914,PTTO01003619.1,22460
Contig2915,PTTO01004193.1,44458
Contig2916,PTTO01002309.1,18866
Contig2917,PTTO01002807.1,86325
Contig2918,PTTO01000131.1,29759
Contig2919,PTTO01000596.1,8936
Contig292,PTTO01004210.1,157800
Contig2920,PTTO01004468.1,39655
Contig2921,PTTO01000109.1,27804
Contig2922,PTTO01001818.1,40902
Contig2923,PTTO01002003.1,19251
Contig2924,PTTO01000315.1,34319
Contig2925,PTTO01001076.1,23423
Contig2926,PTTO01003827.1,35534
Contig2927,PTTO01004064.1,119976
Contig2928,PTTO01002484.1,126722
Contig2929,PTTO01003014.1,6136
Contig293,PTTO01002485.1,1387303
Contig2930,PTTO01002688.1,35533
Contig2931,PTTO01004451.1,21459
Contig2932,PTTO01001802.1,28016
Contig2933,PTTO01001160.1,10716
Contig2934,PTTO01000797.1,47221
Contig2935,PTTO01000125.1,47971
Contig2936,PTTO01004361.1,41858
Contig2937,PTTO01003665.1,37165
Contig2938,PTTO01004382.1,33978
Contig2939,PTTO01003740.1,8824
Contig294,PTTO01002919.1,158357
Contig2940,PTTO01001143.1,8480
Contig2941,PTTO01001886.1,33391
Contig2942,PTTO01001919.1,25732
Contig2943,PTTO01000171.1,16559
Contig2944,PTTO01003274.1,36396
Contig2945,PTTO01001172.1,21168
Contig2946,PTTO01002532.1,23910
Contig2947,PTTO01003284.1,27864
Contig2948,PTTO01000669.1,40049
Contig2949,PTTO01004364.1,72593
Contig295,PTTO01001470.1,360633
Contig2950,PTTO01004053.1,8517
Contig2951,PTTO01000531.1,9847
Contig2952,PTTO01002886.1,19101
Contig2953,PTTO01003541.1,37162
Contig2954,PTTO01002373.1,24440
Contig2955,PTTO01003058.1,4961
Contig2956,PTTO01000833.1,11855
Contig2957,PTTO01001555.1,5191
Contig2958,PTTO01003963.1,18545
Contig2959,PTTO01004422.1,54113
Contig296,PTTO01001955.1,121571
Contig2960,PTTO01002980.1,12126
Contig2961,PTTO01004373.1,17158
Contig2962,PTTO01004113.1,4847
Contig2963,PTTO01003446.1,9794
Contig2964,PTTO01003067.1,61266
Contig2965,PTTO01002377.1,33363
Contig2966,PTTO01000152.1,58929
Contig2967,PTTO01001441.1,25548
Contig2968,PTTO01000821.1,27240
Contig2969,PTTO01000482.1,43377
Contig297,PTTO01000327.1,1258811
Contig2970,PTTO01002850.1,10992
Contig2971,PTTO01002302.1,8349
Contig2972,PTTO01004190.1,20314
Contig2973,PTTO01003672.1,80021
Contig2974,PTTO01000236.1,24085
Contig2975,PTTO01002035.1,259856
Contig2976,PTTO01001551.1,44046
Contig2977,PTTO01003357.1,65102
Contig2978,PTTO01004552.1,32212
Contig2979,PTTO01003910.1,7173
Contig298,PTTO01000948.1,303488
Contig2980,PTTO01003069.1,33167
Contig2981,PTTO01002475.1,9534
Contig2982,PTTO01001400.1,102646
Contig2983,PTTO01003221.1,38371
Contig2984,PTTO01003009.1,51874
Contig2985,PTTO01002453.1,39353
Contig2986,PTTO01003402.1,61371
Contig2987,PTTO01000605.1,19479
Contig2988,PTTO01000426.1,24818
