discrep_type,seqtype,seqname,placetype,query_start,query_stop,query_length,gap_length,number_masked,number_het,number_chrY,target_name,target_seq_id,target_start,target_stop
SP Only,scaffold,Contig2932,unplaced,1,10982,10970,0,9117,0,0,9,ref|NC_041736.1|,28110757,28121729
Inv,scaffold,Contig2949,unplaced,1,12612,12598,0,10974,0,0,9,ref|NC_041736.1|,28392701,28405455
SP Only,scaffold,Contig2982,unplaced,1,4907,4863,0,4008,0,0,9,ref|NC_041736.1|,28069088,28074158
SP Only,scaffold,Contig3058,unplaced,1,7362,7361,0,6436,0,0,9,ref|NC_041736.1|,28462272,28469650
SP Only,scaffold,Contig3101,unplaced,1,2399,2393,0,2013,0,0,9,ref|NC_041736.1|,28146917,28149320
SP Only,scaffold,Contig3150,unplaced,6243,26924,20554,0,10610,0,0,9,ref|NC_041736.1|,28152586,28173357
SP Only,scaffold,Contig3156,unplaced,1,9235,9205,0,2703,0,0,9,ref|NC_041736.1|,40614435,40623766
Inv,scaffold,Contig3158,unplaced,252,373,122,0,105,0,0,9,ref|NC_041736.1|,28185393,28185514
SP Only,scaffold,Contig3241,unplaced,1,1921,1921,0,1428,0,0,9,ref|NC_041736.1|,28676866,28678790
SP Only,scaffold,Contig3400,unplaced,1,8920,8915,0,7942,0,0,9,ref|NC_041736.1|,28332729,28341657
SP Only,scaffold,Contig3437,unplaced,1,9186,9169,0,3624,0,0,9,ref|NC_041736.1|,53627188,53636410
SP Only,scaffold,Contig3555,unplaced,1,6288,6288,0,5200,0,0,9,ref|NC_041736.1|,28112311,28118610
SP Only,scaffold,Contig3628,unplaced,1,14090,14051,0,2533,0,0,9,ref|NC_041736.1|,28163832,28177889
Inv,scaffold,Contig3771,unplaced,1,16226,16226,0,14766,0,0,9,ref|NC_041736.1|,29337143,29353385
SP Only,scaffold,Contig3822,unplaced,1,21806,21742,0,10572,0,0,9,ref|NC_041736.1|,29389026,29410806
SP Only,scaffold,Contig3842,unplaced,1,5533,5514,0,4329,0,0,9,ref|NC_041736.1|,28111568,28117096
SP Only,scaffold,Contig3870,unplaced,1,22109,21865,0,18880,0,0,9,ref|NC_041736.1|,28560505,28582827
Inv,scaffold,Contig4016,unplaced,1,17741,17725,0,16129,0,0,9,ref|NC_041736.1|,28533226,28550958
SP Only,scaffold,Contig408,unplaced,3,7639,7628,0,6483,0,0,9,ref|NC_041736.1|,28693015,28700671
SP Only,scaffold,Contig4080,unplaced,1,8624,8167,0,6794,0,0,9,ref|NC_041736.1|,29154009,29162508
Inv,scaffold,Contig4087,unplaced,1,1349,1348,0,902,0,0,9,ref|NC_041736.1|,39465544,39466907
SP Only,scaffold,Contig422,unplaced,1,5259,5230,0,4288,0,0,9,ref|NC_041736.1|,28144065,28149320
SP Only,scaffold,Contig4231,unplaced,1,2110,2110,0,1705,0,0,9,ref|NC_041736.1|,28550959,28553069
SP Only,scaffold,Contig432,unplaced,5,6018,6006,0,4823,0,0,9,ref|NC_041736.1|,28451407,28457467
SP Only,scaffold,Contig4341,unplaced,2481,6202,3625,0,2812,0,0,9,ref|NC_041736.1|,23597626,23601296
SP Only,scaffold,Contig4370,unplaced,1,9283,9277,0,8017,0,0,9,ref|NC_041736.1|,28134993,28144284
SP Only,scaffold,Contig4424,unplaced,20,3105,3085,0,1317,0,0,9,ref|NC_041736.1|,28178841,28181925
SP Only,scaffold,Contig4436,unplaced,1,2944,2944,0,1045,0,0,9,ref|NC_041736.1|,12609625,12612568
SP Only,scaffold,Contig45,unplaced,1,8584,8563,0,7084,0,0,9,ref|NC_041736.1|,28411952,28420626
SP Only,scaffold,Contig579,unplaced,1,9363,9345,0,7702,0,0,9,ref|NC_041736.1|,28112311,28121685
SP Only,scaffold,Contig639,unplaced,1,9635,9591,0,3175,0,0,9,ref|NC_041736.1|,28174465,28184216
SP Only,scaffold,Contig658,unplaced,950,4842,3857,0,3187,0,0,9,ref|NC_041736.1|,28117852,28121729
SP Only,scaffold,Contig660,unplaced,2,14627,14612,0,11640,0,0,9,ref|NC_041736.1|,28149200,28163830
Inv,scaffold,Contig690,unplaced,1,109470,109271,0,82414,0,0,9,ref|NC_041736.1|,29190391,29299924
SP Only,scaffold,Contig691,unplaced,1,11501,11465,0,9073,0,0,9,ref|NC_041736.1|,28152820,28164326
SP Only,scaffold,Contig705,unplaced,2483,6224,3624,0,2807,0,0,9,ref|NC_041736.1|,23597626,23601296
SP Only,scaffold,Contig707,unplaced,1,11222,10809,0,9340,0,0,9,ref|NC_041736.1|,28185515,28196562
SP Only,scaffold,Contig734,unplaced,3,10694,10481,0,8629,0,0,9,ref|NC_041736.1|,28153756,28164322
SP Only,scaffold,Contig786,unplaced,1,6440,6440,0,5574,0,0,9,ref|NC_041736.1|,28405456,28411951
SP Only,scaffold,Contig886,unplaced,1,4762,4761,0,4132,0,0,9,ref|NC_041736.1|,28595291,28600065
SP,scaffold,Contig972,unplaced,4901,6951,1966,0,1769,0,0,9,ref|NC_041736.1|,28801256,28803326
SP Only,scaffold,Contig1165,unplaced,220844,222261,1415,0,1125,0,0,10,ref|NC_041737.1|,51378688,51380106
Inv,scaffold,Contig135,unplaced,2492768,2492842,75,0,75,0,0,10,ref|NC_041737.1|,71992,72066
Inv,scaffold,Contig15,unplaced,40618271,40618715,444,0,416,0,0,10,ref|NC_041737.1|,71421,71871
SP Only,scaffold,Contig1511,unplaced,1,41319,41304,0,22217,0,0,10,ref|NC_041737.1|,6901315,6942693
Inv,scaffold,Contig157,unplaced,1,205,205,0,118,0,0,10,ref|NC_041737.1|,28379607,28379813
Inv,scaffold,Contig158,unplaced,1,2306,2303,0,1796,0,0,10,ref|NC_041737.1|,32688543,32690852
SP Only,scaffold,Contig1743,unplaced,1,8294,8279,0,6201,0,0,10,ref|NC_041737.1|,57121128,57129487
SP Only,scaffold,Contig1952,unplaced,1,16472,16443,0,5935,0,0,10,ref|NC_041737.1|,43026154,43042651
Inv,scaffold,Contig2174,unplaced,1093,9641,8549,0,4439,0,0,10,ref|NC_041737.1|,32905336,32913885
SP Only,scaffold,Contig2668,unplaced,4862,40964,36089,0,17070,0,0,10,ref|NC_041737.1|,22531814,22567949
SP Only,scaffold,Contig2994,unplaced,2839,14691,11785,0,8162,0,0,10,ref|NC_041737.1|,32663072,32674926
Inv,scaffold,Contig35,unplaced,1,3295321,3256214,100,1390141,0,0,10,ref|NC_041737.1|,11394658,14660070
SP Only,scaffold,Contig3746,unplaced,2264,33363,31043,0,13713,0,0,10,ref|NC_041737.1|,18721835,18752966
Inv,scaffold,Contig4348,unplaced,696,1567,871,0,833,0,0,10,ref|NC_041737.1|,33095617,33096496
SP Only,scaffold,Contig783,unplaced,1,32425,32319,0,17604,0,0,10,ref|NC_041737.1|,35912476,35944941
SP Only,scaffold,Contig813,unplaced,1,30510,30500,0,13547,0,0,10,ref|NC_041737.1|,14655861,14686387
SP Only,scaffold,Contig1,unplaced,1,14063,14047,0,7121,0,0,11,ref|NC_041738.1|,30392993,30407212
SP Only,scaffold,Contig1128,unplaced,1,3310,3305,0,177,0,0,11,ref|NC_041738.1|,17870683,17873992
SP Only,scaffold,Contig1369,unplaced,1,7478,7431,0,4303,0,0,11,ref|NC_041738.1|,17901768,17909241
SP Only,scaffold,Contig1395,unplaced,1,2920,2919,0,1723,0,0,11,ref|NC_041738.1|,17901766,17904709
SP Only,scaffold,Contig1397,unplaced,827,8014,7188,0,2930,0,0,11,ref|NC_041738.1|,47872353,47879543
SP Only,scaffold,Contig1423,unplaced,1,25042,25034,0,3066,0,0,11,ref|NC_041738.1|,17925921,17951040
Inv,scaffold,Contig145,unplaced,1,23563,23474,0,21461,0,0,11,ref|NC_041738.1|,17800772,17824694
SP Only,scaffold,Contig1522,unplaced,1,1493,1474,0,678,0,0,11,ref|NC_041738.1|,17900285,17901767
SP Only,scaffold,Contig1702,unplaced,2710,6184,3474,0,2890,0,0,11,ref|NC_041738.1|,18036212,18039725
SP Only,scaffold,Contig1926,unplaced,1,13250,13221,0,7018,0,0,11,ref|NC_041738.1|,17860737,17873992
SP Only,scaffold,Contig196,unplaced,1,2142,2116,0,890,0,0,11,ref|NC_041738.1|,17915729,17917867
SP Only,scaffold,Contig203,unplaced,1,14117,14087,0,11344,0,0,11,ref|NC_041738.1|,18158642,18172845
SP Only,scaffold,Contig2043,unplaced,1,7981,7976,0,881,0,0,11,ref|NC_041738.1|,17889389,17897376
SP Only,scaffold,Contig2068,unplaced,1,14141,14037,0,1266,0,0,11,ref|NC_041738.1|,17931611,17945772
SP Only,scaffold,Contig2083,unplaced,1,5217,5171,0,2861,0,0,11,ref|NC_041738.1|,17904037,17909241
SP Only,scaffold,Contig2115,unplaced,1,9886,9883,0,8589,0,0,11,ref|NC_041738.1|,17951928,17961839
Inv,scaffold,Contig220,unplaced,1,2514904,2511904,0,1357320,0,0,11,ref|NC_041738.1|,60948925,63470022
SP Only,scaffold,Contig2223,unplaced,1,38871,38774,0,20797,0,0,11,ref|NC_041738.1|,59809388,59848522
SP Only,scaffold,Contig2232,unplaced,31094,70630,39528,0,25359,0,0,11,ref|NC_041738.1|,60948925,60988683
SP Only,scaffold,Contig2240,unplaced,1,7465,7403,0,4144,0,0,11,ref|NC_041738.1|,17901768,17909241
SP Only,scaffold,Contig2335,unplaced,1,25076,25043,0,3078,0,0,11,ref|NC_041738.1|,17925921,17951040
SP Only,scaffold,Contig2753,unplaced,1,19083,19077,0,11163,0,0,11,ref|NC_041738.1|,61728462,61747669
SP Only,scaffold,Contig2781,unplaced,1,10969,10904,0,9109,0,0,11,ref|NC_041738.1|,17951041,17961982
SP,scaffold,Contig290,unplaced,5627007,5628227,1213,0,199,0,0,11,ref|NC_041738.1|,63500900,63502135
SP Only,scaffold,Contig3030,unplaced,6,19474,19434,0,16612,0,0,11,ref|NC_041738.1|,17963979,17983448
SP Only,scaffold,Contig3237,unplaced,1,1897,1893,0,1696,0,0,11,ref|NC_041738.1|,17961983,17963940
SP Only,scaffold,Contig3339,unplaced,1,1533,1473,0,779,0,0,11,ref|NC_041738.1|,17900285,17901765
SP Only,scaffold,Contig3355,unplaced,634,1870,1196,0,744,0,0,11,ref|NC_041738.1|,17909900,17911109
SP Only,scaffold,Contig3356,unplaced,1,3878,3804,0,1979,0,0,11,ref|NC_041738.1|,17901770,17905645
SP Only,scaffold,Contig3417,unplaced,1,11212,11122,0,8752,0,0,11,ref|NC_041738.1|,17573580,17584882
SP,scaffold,Contig3522,unplaced,2201344,2233404,31864,0,12003,0,0,11,ref|NC_041738.1|,2317259,2349162
SP Only,scaffold,Contig3527,unplaced,1,4420,4411,0,2476,0,0,11,ref|NC_041738.1|,17901768,17906198
SP Only,scaffold,Contig3545,unplaced,1,2142,2116,0,890,0,0,11,ref|NC_041738.1|,17915729,17917867
SP Only,scaffold,Contig3695,unplaced,1,9727,9696,0,3494,0,0,11,ref|NC_041738.1|,17865138,17874871
SP,scaffold,Contig37,unplaced,31461037,31464621,3584,0,701,0,0,11,ref|NC_041738.1|,12382,15969
Inv,scaffold,Contig3884,unplaced,1,24043,23830,0,21671,0,0,11,ref|NC_041738.1|,17533877,17557760
SP Only,scaffold,Contig4033,unplaced,1208,45231,43937,0,35362,0,0,11,ref|NC_041738.1|,18073012,18117339
SP Only,scaffold,Contig4093,unplaced,191,9349,9102,0,5108,0,0,11,ref|NC_041738.1|,17901766,17910997
SP Only,scaffold,Contig4116,unplaced,8,2149,2142,0,1949,0,0,11,ref|NC_041738.1|,17961840,17963989
SP Only,scaffold,Contig4154,unplaced,5197,21823,16614,0,4414,0,0,11,ref|NC_041738.1|,17865138,17881761
SP Only,scaffold,Contig4339,unplaced,21653,23580,1896,0,1651,0,0,11,ref|NC_041738.1|,17962037,17963940
SP Only,scaffold,Contig4457,unplaced,1,2688,2679,0,2144,0,0,11,ref|NC_041738.1|,18033499,18036211
SP,scaffold,Contig5,unplaced,762124,765376,3253,0,943,0,0,11,ref|NC_041738.1|,33035798,33039053
Inv,scaffold,Contig55,unplaced,1,11966119,11887755,200,5729775,0,0,11,ref|NC_041738.1|,18514678,30434826
SP,scaffold,Contig67,unplaced,27959577,27961346,1710,0,1278,0,0,11,ref|NC_041738.1|,63497145,63498890
SP Only,scaffold,Contig908,unplaced,1,8201,8105,0,6913,0,0,11,ref|NC_041738.1|,18033500,18041789
SP Only,scaffold,Contig1049,unplaced,5716155,5717418,1264,0,830,0,0,12,ref|NC_041739.1|,52513770,52515037
Inv,scaffold,Contig106,unplaced,8452,9013,550,0,562,0,0,12,ref|NC_041739.1|,37655235,37655785
SP Only,scaffold,Contig1164,unplaced,23549,24657,1106,0,815,0,0,12,ref|NC_041739.1|,58535686,58536805
SP Only,scaffold,Contig1235,unplaced,1,19002,18995,0,16711,0,0,12,ref|NC_041739.1|,42429634,42448682
SP Only,scaffold,Contig1307,unplaced,1,14824,14812,0,6167,0,0,12,ref|NC_041739.1|,46230188,46245014
SP Only,scaffold,Contig1354,unplaced,10584,12786,2203,0,1040,0,0,12,ref|NC_041739.1|,46267337,46269541
SP,scaffold,Contig1383,unplaced,1,35646,35603,0,31416,0,0,12,ref|NC_041739.1|,42422402,42458133
SP Only,scaffold,Contig1466,unplaced,1,28411,28395,0,25182,0,0,12,ref|NC_041739.1|,42429634,42458133
SP Only,scaffold,Contig1497,unplaced,18340,19905,1519,0,117,0,0,12,ref|NC_041739.1|,37712871,37714407
SP Only,scaffold,Contig1567,unplaced,1,5012,5012,0,2420,0,0,12,ref|NC_041739.1|,48935027,48940054
SP Only,scaffold,Contig1588,unplaced,1,23391,23321,0,18946,0,0,12,ref|NC_041739.1|,44590431,44614162
SP Only,scaffold,Contig1684,unplaced,7153,12048,4889,0,2594,0,0,12,ref|NC_041739.1|,37527364,37532307
SP Only,scaffold,Contig1780,unplaced,1,16264,16236,0,11720,0,0,12,ref|NC_041739.1|,44695738,44712001
SP Only,scaffold,Contig209,unplaced,1,10444,10412,0,2556,0,0,12,ref|NC_041739.1|,52494981,52505445
SP,scaffold,Contig2121,unplaced,310,51540,51173,0,41586,0,0,12,ref|NC_041739.1|,43308667,43360267
SP Only,scaffold,Contig2201,unplaced,1,12392,12378,0,6677,0,0,12,ref|NC_041739.1|,42593774,42606254
SP,scaffold,Contig2235,unplaced,12920,16671,3715,0,2032,0,0,12,ref|NC_041739.1|,37663766,37667490
SP Only,scaffold,Contig2344,unplaced,1,1592,1585,0,761,0,0,12,ref|NC_041739.1|,52510025,52511630
SP Only,scaffold,Contig2556,unplaced,1,6553,6553,0,5790,0,0,12,ref|NC_041739.1|,46181299,46187868
SP Only,scaffold,Contig256,unplaced,239014,247295,8227,0,5056,0,0,12,ref|NC_041739.1|,42565964,42574216
SP Only,scaffold,Contig2568,unplaced,1,2591,2565,0,1176,0,0,12,ref|NC_041739.1|,37572221,37574825
SP Only,scaffold,Contig2583,unplaced,30025,40822,10792,0,4868,0,0,12,ref|NC_041739.1|,44002968,44013810
SP Only,scaffold,Contig2593,unplaced,14197,15827,1561,0,183,0,0,12,ref|NC_041739.1|,46254525,46256178
SP Only,scaffold,Contig2609,unplaced,1,17962,17626,0,12794,0,0,12,ref|NC_041739.1|,43266231,43284130
SP,scaffold,Contig2628,unplaced,1,21283,21278,0,10443,0,0,12,ref|NC_041739.1|,42726399,42747693
SP Only,scaffold,Contig2659,unplaced,1,12817,12794,0,4368,0,0,12,ref|NC_041739.1|,52513922,52526774
Inv,scaffold,Contig269,unplaced,314350,314939,590,0,222,0,0,12,ref|NC_041739.1|,44015891,44016481
SP Only,scaffold,Contig2694,unplaced,9762,45514,35695,0,15950,0,0,12,ref|NC_041739.1|,15873133,15909096
Inv,scaffold,Contig2754,unplaced,17310,20562,3219,0,1245,0,0,12,ref|NC_041739.1|,37670239,37673533
SP Only,scaffold,Contig2764,unplaced,30629,31744,1115,0,822,0,0,12,ref|NC_041739.1|,58535686,58536805
SP Only,scaffold,Contig2769,unplaced,14957,16065,1106,0,815,0,0,12,ref|NC_041739.1|,58535686,58536805
SP Only,scaffold,Contig2771,unplaced,577,4786,4198,0,2880,0,0,12,ref|NC_041739.1|,52512227,52516460
Inv,scaffold,Contig2861,unplaced,103,331,229,0,0,0,0,12,ref|NC_041739.1|,37615028,37615256
SP Only,scaffold,Contig2862,unplaced,7153,12048,4889,0,2594,0,0,12,ref|NC_041739.1|,37527364,37532307
SP Only,scaffold,Contig2872,unplaced,1,26691,26673,0,14437,0,0,12,ref|NC_041739.1|,46224678,46251440
SP Only,scaffold,Contig2882,unplaced,38042,47638,9595,0,6246,0,0,12,ref|NC_041739.1|,44744752,44754348
SP,scaffold,Contig3105,unplaced,1317681,1320244,2545,0,1331,0,0,12,ref|NC_041739.1|,37679620,37682185
SP Only,scaffold,Contig3184,unplaced,1,18665,18638,0,9953,0,0,12,ref|NC_041739.1|,52550198,52568999
SP Only,scaffold,Contig3186,unplaced,1,1749,1741,0,112,0,0,12,ref|NC_041739.1|,46261318,46263064
SP Only,scaffold,Contig325,unplaced,2,5364,5353,0,3635,0,0,12,ref|NC_041739.1|,43138781,43144145
SP Only,scaffold,Contig3325,unplaced,1,20151,19860,0,16824,0,0,12,ref|NC_041739.1|,44538841,44558832
SP Only,scaffold,Contig333,unplaced,35533,37418,1885,0,431,0,0,12,ref|NC_041739.1|,37609057,37610969
SP Only,scaffold,Contig3344,unplaced,577,4554,3971,0,2753,0,0,12,ref|NC_041739.1|,52512469,52516460
SP,scaffold,Contig344,unplaced,324568,329622,4964,0,4463,0,0,12,ref|NC_041739.1|,43095330,43100327
SP Only,scaffold,Contig3579,unplaced,1,3743,3740,0,843,0,0,12,ref|NC_041739.1|,37605306,37609067
SP Only,scaffold,Contig3614,unplaced,22724,24292,1558,0,1380,0,0,12,ref|NC_041739.1|,44636935,44638498
SP Only,scaffold,Contig368,unplaced,3559757,3561550,1767,0,1736,0,0,12,ref|NC_041739.1|,37647450,37649240
SP Only,scaffold,Contig3804,unplaced,1,19748,19644,0,6871,0,0,12,ref|NC_041739.1|,37596407,37616217
SP Only,scaffold,Contig3963,unplaced,250,39120,38742,0,23893,0,0,12,ref|NC_041739.1|,43052750,43091692
Inv,scaffold,Contig4005,unplaced,1,6354,6326,0,2300,0,0,12,ref|NC_041739.1|,43100333,43106729
SP Only,scaffold,Contig4025,unplaced,1,41960,41830,0,26088,0,0,12,ref|NC_041739.1|,43052500,43094538
SP Only,scaffold,Contig4085,unplaced,1144,7888,6650,0,3036,0,0,12,ref|NC_041739.1|,37589373,37596175
Inv,scaffold,Contig4094,unplaced,1,4688376,4681276,0,2480845,0,0,12,ref|NC_041739.1|,37756382,42448682
Inv,scaffold,Contig4103,unplaced,1,30114,29990,0,26250,0,0,12,ref|NC_041739.1|,44584098,44614162
Inv,scaffold,Contig4201,unplaced,1,205572,205412,0,135917,0,0,12,ref|NC_041739.1|,43138781,43344325
SP Only,scaffold,Contig4314,unplaced,1,17324,17312,0,5476,0,0,12,ref|NC_041739.1|,52513599,52530949
SP Only,scaffold,Contig4392,unplaced,1,12248,12240,0,7219,0,0,12,ref|NC_041739.1|,49592372,49604661
SP Only,scaffold,Contig4484,unplaced,1,17189,17125,0,12226,0,0,12,ref|NC_041739.1|,42405173,42422401
SP Only,scaffold,Contig4499,unplaced,1,36443,36419,0,21669,0,0,12,ref|NC_041739.1|,42769559,42806095
SP Only,scaffold,Contig4533,unplaced,5350,9934,4548,0,2035,0,0,12,ref|NC_041739.1|,37682885,37687447
SP Only,scaffold,Contig647,unplaced,1,18074,17738,0,13528,0,0,12,ref|NC_041739.1|,43266231,43284130
SP Only,scaffold,Contig648,unplaced,1,14880,14873,0,7975,0,0,12,ref|NC_041739.1|,42649436,42664367
SP Only,scaffold,Contig713,unplaced,14193,15824,1561,0,179,0,0,12,ref|NC_041739.1|,46254525,46256178
SP Only,scaffold,Contig722,unplaced,1,11916,11905,0,8150,0,0,12,ref|NC_041739.1|,28819111,28831071
SP Only,scaffold,Contig764,unplaced,1,19392,19368,0,12620,0,0,12,ref|NC_041739.1|,44688202,44707595
SP,scaffold,Contig799,unplaced,1,7566,7560,0,2077,0,0,12,ref|NC_041739.1|,52516930,52524536
SP Only,scaffold,Contig854,unplaced,1,17673,17639,0,14236,0,0,12,ref|NC_041739.1|,43326562,43344324
SP Only,scaffold,Contig925,unplaced,1,21308,21270,0,18949,0,0,12,ref|NC_041739.1|,46199486,46220840
SP Only,scaffold,Contig930,unplaced,1,14232,14123,0,12605,0,0,12,ref|NC_041739.1|,44576203,44590430
SP Only,scaffold,Contig1032,unplaced,1,6380,6360,0,4407,0,0,13,ref|NC_041740.1|,22127853,22134265
Inv,scaffold,Contig1191,unplaced,1,2135,2069,0,2066,0,0,13,ref|NC_041740.1|,42288645,42290895
Inv,scaffold,Contig1226,unplaced,27534,27793,260,0,260,0,0,13,ref|NC_041740.1|,28350053,28350312
SP Only,scaffold,Contig1233,unplaced,2,25613,25541,0,17936,0,0,13,ref|NC_041740.1|,22134580,22160170
SP Only,scaffold,Contig1285,unplaced,1,5878,5876,0,1362,0,0,13,ref|NC_041740.1|,31312928,31318818
SP Only,scaffold,Contig1343,unplaced,883,4097,3203,0,1309,0,0,13,ref|NC_041740.1|,22185088,22188320
SP Only,scaffold,Contig1392,unplaced,2,22436,22319,0,16075,0,0,13,ref|NC_041740.1|,22134580,22157017
SP Only,scaffold,Contig1640,unplaced,1,8263,8257,0,5331,0,0,13,ref|NC_041740.1|,22148993,22157279
SP Only,scaffold,Contig1996,unplaced,1,2136,2132,0,666,0,0,13,ref|NC_041740.1|,36509992,36512140
SP Only,scaffold,Contig232,unplaced,1,6884,6851,0,3780,0,0,13,ref|NC_041740.1|,22163928,22170842
SP Only,scaffold,Contig2465,unplaced,2,27840,27696,0,18320,0,0,13,ref|NC_041740.1|,22134580,22162441
SP Only,scaffold,Contig2514,unplaced,1,23615,23583,0,14119,0,0,13,ref|NC_041740.1|,22110777,22134522
SP Only,scaffold,Contig2635,unplaced,1,9628,9575,0,5219,0,0,13,ref|NC_041740.1|,22111889,22121530
Inv,scaffold,Contig2848,unplaced,1,1763,1763,0,900,0,0,13,ref|NC_041740.1|,1927260,1929024
SP Only,scaffold,Contig2906,unplaced,1,23751,23677,0,14412,0,0,13,ref|NC_041740.1|,22110777,22134522
SP Only,scaffold,Contig3033,unplaced,1,5646,5644,0,1144,0,0,13,ref|NC_041740.1|,31313165,31318818
SP Only,scaffold,Contig3503,unplaced,730,2999,2199,0,506,0,0,13,ref|NC_041740.1|,31325382,31327602
SP Only,scaffold,Contig3559,unplaced,3820,6058,2211,0,568,0,0,13,ref|NC_041740.1|,31325372,31327602
SP Only,scaffold,Contig387,unplaced,887199,889087,1887,0,1411,0,0,13,ref|NC_041740.1|,42280318,42282257
SP Only,scaffold,Contig3910,unplaced,6552,10013,3424,0,962,0,0,13,ref|NC_041740.1|,28326713,28330187
SP Only,scaffold,Contig4058,unplaced,1,20974,20958,0,15409,0,0,13,ref|NC_041740.1|,22135394,22156517
SP,scaffold,Contig41,unplaced,1395874,1396946,1073,0,601,0,0,13,ref|NC_041740.1|,39051661,39052737
SP Only,scaffold,Contig4106,unplaced,90,2324,2209,0,512,0,0,13,ref|NC_041740.1|,31325373,31327602
Inv,scaffold,Contig4265,unplaced,1,1100325,1099875,0,400714,0,0,13,ref|NC_041740.1|,36503926,37605437
SP Only,scaffold,Contig463,unplaced,1,2379,2377,0,1339,0,0,13,ref|NC_041740.1|,22173211,22175624
Inv,scaffold,Contig57,unplaced,1,1953021,1895913,200,955044,0,0,13,ref|NC_041740.1|,1,1927259
SP Only,scaffold,Contig653,unplaced,1,2441,2438,0,521,0,0,13,ref|NC_041740.1|,31319484,31321946
SP Only,scaffold,Contig873,unplaced,38431,40906,2476,0,671,0,0,13,ref|NC_041740.1|,35077812,35080293
SP Only,scaffold,Contig956,unplaced,1,25190,24982,0,16142,0,0,13,ref|NC_041740.1|,22112782,22138018
Inv,scaffold,Contig1027,unplaced,19780,49387,29571,0,12627,0,0,14,ref|NC_041741.1|,21500583,21530185
SP Only,scaffold,Contig1645,unplaced,898,22894,21974,0,15549,0,0,14,ref|NC_041741.1|,21338839,21360905
SP Only,scaffold,Contig1685,unplaced,1,8902,8828,0,5508,0,0,14,ref|NC_041741.1|,21374446,21383321
SP Only,scaffold,Contig1943,unplaced,5101,32049,26366,0,17745,0,0,14,ref|NC_041741.1|,21332207,21359059
SP,scaffold,Contig208,unplaced,1728702,1740896,12175,0,4658,0,0,14,ref|NC_041741.1|,2645490,2657804
SP Only,scaffold,Contig2103,unplaced,1,33640,33539,0,14282,0,0,14,ref|NC_041741.1|,48089578,48123341
SP Only,scaffold,Contig2176,unplaced,1,26420,26319,0,14478,0,0,14,ref|NC_041741.1|,21253669,21280142
SP Only,scaffold,Contig2234,unplaced,1,14315,14285,0,12434,0,0,14,ref|NC_041741.1|,21301923,21316241
SP Only,scaffold,Contig2381,unplaced,1,25165,25133,0,13390,0,0,14,ref|NC_041741.1|,47468620,47493958
Inv,scaffold,Contig2419,unplaced,41,124,84,0,84,0,0,14,ref|NC_041741.1|,21361983,21362066
SP Only,scaffold,Contig2595,unplaced,4412,7576,3131,0,2227,0,0,14,ref|NC_041741.1|,21335658,21338821
SP Only,scaffold,Contig2624,unplaced,1,2620,2572,0,838,0,0,14,ref|NC_041741.1|,21345546,21348136
SP Only,scaffold,Contig2766,unplaced,1,10455,10377,0,8520,0,0,14,ref|NC_041741.1|,21490081,21500582
SP Only,scaffold,Contig2801,unplaced,1,9293,9242,0,7644,0,0,14,ref|NC_041741.1|,21309796,21319060
SP Only,scaffold,Contig3194,unplaced,1,7095,7082,0,5851,0,0,14,ref|NC_041741.1|,21309796,21316903
SP Only,scaffold,Contig3254,unplaced,2173,4354,2182,0,2046,0,0,14,ref|NC_041741.1|,21319061,21321242
SP Only,scaffold,Contig3306,unplaced,714,23832,22982,0,14298,0,0,14,ref|NC_041741.1|,21329609,21353021
SP Only,scaffold,Contig3380,unplaced,1,6436,6416,0,3534,0,0,14,ref|NC_041741.1|,21247204,21253671
SP Only,scaffold,Contig3470,unplaced,13943,15428,1462,0,424,0,0,14,ref|NC_041741.1|,21242842,21244304
SP Only,scaffold,Contig3488,unplaced,1,9086,9054,0,7353,0,0,14,ref|NC_041741.1|,21291814,21301043
SP Only,scaffold,Contig3658,unplaced,1,2944,2908,0,590,0,0,14,ref|NC_041741.1|,31802438,31805355
SP Only,scaffold,Contig3928,unplaced,3,26658,26635,0,9033,0,0,14,ref|NC_041741.1|,15072361,15099107
SP Only,scaffold,Contig3941,unplaced,1,1352,1347,0,923,0,0,14,ref|NC_041741.1|,2953256,2954613
SP Only,scaffold,Contig3944,unplaced,1,10506,10490,0,3802,0,0,14,ref|NC_041741.1|,21500583,21511094
SP Only,scaffold,Contig4091,unplaced,1,17617,17545,0,14894,0,0,14,ref|NC_041741.1|,21301469,21319060
SP Only,scaffold,Contig420,unplaced,1,11800,11775,0,9611,0,0,14,ref|NC_041741.1|,21313449,21325270
SP Only,scaffold,Contig4359,unplaced,1498,5584,4028,0,2400,0,0,14,ref|NC_041741.1|,21322522,21326656
SP Only,scaffold,Contig436,unplaced,635,36924,36249,0,12955,0,0,14,ref|NC_041741.1|,5271508,5308124
SP Only,scaffold,Contig1183,unplaced,1247,6434,5144,0,2666,0,0,15,ref|NC_041742.1|,12783077,12788373
SP Only,scaffold,Contig1271,unplaced,1,2693,2687,0,1599,0,0,15,ref|NC_041742.1|,12841362,12844062
SP,scaffold,Contig1908,unplaced,7512,14188,6676,0,4147,0,0,15,ref|NC_041742.1|,12834685,12841361
SP Only,scaffold,Contig2028,unplaced,1827,4748,2900,0,1427,0,0,15,ref|NC_041742.1|,12755344,12758257
