# Assembly name:  ASM296699v1
# Organism name:  Ornithorhynchus anatinus (platypus)
# Isolate:  Pmale09
# Sex:  male
# Taxid:          9258
# BioSample:      SAMN08537700
# BioProject:     PRJNA433451
# Submitter:      BGI
# Date:           2018-03-02
# Assembly type:  haploid
# Release type:   major
# Assembly level: Scaffold
# Genome representation: full
# WGS project:    PTTO01
# Assembly method: Falcon + Dovetail HiRes v. JULY-2016
# Expected final version: no
# Genome coverage: 90.0x
# Sequencing technology: PacBio; Illumina
# GenBank assembly accession: GCA_002966995.1
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_002967025.1		Primary Assembly
#
# Ordered by chromosome/plasmid; the chromosomes/plasmids are followed by
# unlocalized scaffolds.
# Unplaced scaffolds are listed at the end.
# RefSeq is equal or derived from GenBank object.
#
# Sequence-Name	Sequence-Role	Assigned-Molecule	Assigned-Molecule-Location/Type	GenBank-Accn	Relationship	RefSeq-Accn	Assembly-Unit	Sequence-Length	UCSC-style-name
Contig3224	unplaced-scaffold	na	na	PTTO01004246.1	<>	na	Primary Assembly	64720	na
Contig3225	unplaced-scaffold	na	na	PTTO01004310.1	<>	na	Primary Assembly	4853	na
Contig3226	unplaced-scaffold	na	na	PTTO01003611.1	<>	na	Primary Assembly	15299	na
Contig3227	unplaced-scaffold	na	na	PTTO01003083.1	<>	na	Primary Assembly	89262	na
Contig3228	unplaced-scaffold	na	na	PTTO01002283.1	<>	na	Primary Assembly	137762	na
Contig3229	unplaced-scaffold	na	na	PTTO01001707.1	<>	na	Primary Assembly	71853	na
Contig323	unplaced-scaffold	na	na	PTTO01003386.1	<>	na	Primary Assembly	529171	na
Contig3230	unplaced-scaffold	na	na	PTTO01003310.1	<>	na	Primary Assembly	16493	na
Contig3231	unplaced-scaffold	na	na	PTTO01002940.1	<>	na	Primary Assembly	56165	na
Contig3232	unplaced-scaffold	na	na	PTTO01002250.1	<>	na	Primary Assembly	91584	na
Contig3233	unplaced-scaffold	na	na	PTTO01002888.1	<>	na	Primary Assembly	11188	na
Contig3234	unplaced-scaffold	na	na	PTTO01003627.1	<>	na	Primary Assembly	49875	na
Contig3235	unplaced-scaffold	na	na	PTTO01004149.1	<>	na	Primary Assembly	27974	na
Contig3236	unplaced-scaffold	na	na	PTTO01000782.1	<>	na	Primary Assembly	7722	na
Contig3237	unplaced-scaffold	na	na	PTTO01001422.1	<>	na	Primary Assembly	43646	na
Contig3238	unplaced-scaffold	na	na	PTTO01002064.1	<>	na	Primary Assembly	7594	na
Contig3239	unplaced-scaffold	na	na	PTTO01002687.1	<>	na	Primary Assembly	43963	na
Contig324	unplaced-scaffold	na	na	PTTO01003703.1	<>	na	Primary Assembly	37896	na
Contig3240	unplaced-scaffold	na	na	PTTO01003958.1	<>	na	Primary Assembly	10114	na
Contig3241	unplaced-scaffold	na	na	PTTO01004467.1	<>	na	Primary Assembly	11463	na
Contig3242	unplaced-scaffold	na	na	PTTO01002537.1	<>	na	Primary Assembly	21810	na
Contig3243	unplaced-scaffold	na	na	PTTO01000716.1	<>	na	Primary Assembly	26621	na
Contig3244	unplaced-scaffold	na	na	PTTO01000963.1	<>	na	Primary Assembly	42338	na
Contig3245	unplaced-scaffold	na	na	PTTO01003898.1	<>	na	Primary Assembly	104078	na
Contig3246	unplaced-scaffold	na	na	PTTO01004550.1	<>	na	Primary Assembly	80149	na
Contig3247	unplaced-scaffold	na	na	PTTO01002267.1	<>	na	Primary Assembly	15160	na
Contig3248	unplaced-scaffold	na	na	PTTO01002893.1	<>	na	Primary Assembly	7639	na
Contig3249	unplaced-scaffold	na	na	PTTO01001246.1	<>	na	Primary Assembly	31144	na
Contig325	unplaced-scaffold	na	na	PTTO01004335.1	<>	na	Primary Assembly	397099	na
Contig3250	unplaced-scaffold	na	na	PTTO01004195.1	<>	na	Primary Assembly	18025	na
Contig3251	unplaced-scaffold	na	na	PTTO01003483.1	<>	na	Primary Assembly	32818	na
Contig3252	unplaced-scaffold	na	na	PTTO01000559.1	<>	na	Primary Assembly	41880	na
Contig3253	unplaced-scaffold	na	na	PTTO01000498.1	<>	na	Primary Assembly	32038	na
Contig3254	unplaced-scaffold	na	na	PTTO01002060.1	<>	na	Primary Assembly	44733	na
Contig3255	unplaced-scaffold	na	na	PTTO01001399.1	<>	na	Primary Assembly	78358	na
Contig3256	unplaced-scaffold	na	na	PTTO01003027.1	<>	na	Primary Assembly	5973	na
Contig3257	unplaced-scaffold	na	na	PTTO01002510.1	<>	na	Primary Assembly	61888	na
Contig3258	unplaced-scaffold	na	na	PTTO01004530.1	<>	na	Primary Assembly	17714	na
Contig3259	unplaced-scaffold	na	na	PTTO01003411.1	<>	na	Primary Assembly	47044	na
Contig326	unplaced-scaffold	na	na	PTTO01001237.1	<>	na	Primary Assembly	90191	na
Contig3260	unplaced-scaffold	na	na	PTTO01003227.1	<>	na	Primary Assembly	29821	na
Contig3261	unplaced-scaffold	na	na	PTTO01002528.1	<>	na	Primary Assembly	36359	na
Contig3262	unplaced-scaffold	na	na	PTTO01002714.1	<>	na	Primary Assembly	5565	na
Contig3263	unplaced-scaffold	na	na	PTTO01004404.1	<>	na	Primary Assembly	39096	na
Contig3264	unplaced-scaffold	na	na	PTTO01000618.1	<>	na	Primary Assembly	19838	na
Contig3265	unplaced-scaffold	na	na	PTTO01000990.1	<>	na	Primary Assembly	9890	na
Contig3266	unplaced-scaffold	na	na	PTTO01000694.1	<>	na	Primary Assembly	33457	na
Contig3267	unplaced-scaffold	na	na	PTTO01003480.1	<>	na	Primary Assembly	61535	na
Contig3268	unplaced-scaffold	na	na	PTTO01000375.1	<>	na	Primary Assembly	4592	na
Contig3269	unplaced-scaffold	na	na	PTTO01000873.1	<>	na	Primary Assembly	883324	na
Contig327	unplaced-scaffold	na	na	PTTO01001748.1	<>	na	Primary Assembly	283305	na
Contig3270	unplaced-scaffold	na	na	PTTO01000839.1	<>	na	Primary Assembly	101741	na
Contig3271	unplaced-scaffold	na	na	PTTO01000361.1	<>	na	Primary Assembly	25914	na
Contig3272	unplaced-scaffold	na	na	PTTO01003135.1	<>	na	Primary Assembly	11435	na
Contig3273	unplaced-scaffold	na	na	PTTO01002622.1	<>	na	Primary Assembly	39071	na
Contig3274	unplaced-scaffold	na	na	PTTO01004477.1	<>	na	Primary Assembly	1589	na
Contig3275	unplaced-scaffold	na	na	PTTO01003948.1	<>	na	Primary Assembly	369060	na
Contig3276	unplaced-scaffold	na	na	PTTO01000021.1	<>	na	Primary Assembly	32436	na
Contig3277	unplaced-scaffold	na	na	PTTO01004061.1	<>	na	Primary Assembly	19487	na
Contig3278	unplaced-scaffold	na	na	PTTO01001251.1	<>	na	Primary Assembly	24659	na
Contig3279	unplaced-scaffold	na	na	PTTO01000902.1	<>	na	Primary Assembly	51866	na
Contig328	unplaced-scaffold	na	na	PTTO01002694.1	<>	na	Primary Assembly	295067	na
Contig3280	unplaced-scaffold	na	na	PTTO01001584.1	<>	na	Primary Assembly	7465	na
Contig3281	unplaced-scaffold	na	na	PTTO01002036.1	<>	na	Primary Assembly	47890	na
Contig3282	unplaced-scaffold	na	na	PTTO01003214.1	<>	na	Primary Assembly	19585	na
Contig3283	unplaced-scaffold	na	na	PTTO01003677.1	<>	na	Primary Assembly	29062	na
Contig3284	unplaced-scaffold	na	na	PTTO01004160.1	<>	na	Primary Assembly	3389	na
Contig3285	unplaced-scaffold	na	na	PTTO01000126.1	<>	na	Primary Assembly	50818	na
Contig3286	unplaced-scaffold	na	na	PTTO01001229.1	<>	na	Primary Assembly	16384	na
Contig3287	unplaced-scaffold	na	na	PTTO01001267.1	<>	na	Primary Assembly	52492	na
Contig3288	unplaced-scaffold	na	na	PTTO01001928.1	<>	na	Primary Assembly	19490	na
Contig3289	unplaced-scaffold	na	na	PTTO01002570.1	<>	na	Primary Assembly	21647	na
Contig329	unplaced-scaffold	na	na	PTTO01003342.1	<>	na	Primary Assembly	499088	na
Contig3290	unplaced-scaffold	na	na	PTTO01003861.1	<>	na	Primary Assembly	24829	na
Contig3291	unplaced-scaffold	na	na	PTTO01003141.1	<>	na	Primary Assembly	44420	na
Contig3292	unplaced-scaffold	na	na	PTTO01003185.1	<>	na	Primary Assembly	81341	na
Contig3293	unplaced-scaffold	na	na	PTTO01002636.1	<>	na	Primary Assembly	67271	na
Contig3294	unplaced-scaffold	na	na	PTTO01001343.1	<>	na	Primary Assembly	2939	na
Contig3295	unplaced-scaffold	na	na	PTTO01000565.1	<>	na	Primary Assembly	11646	na
Contig3296	unplaced-scaffold	na	na	PTTO01004409.1	<>	na	Primary Assembly	13142	na
Contig3297	unplaced-scaffold	na	na	PTTO01003904.1	<>	na	Primary Assembly	31358	na
Contig3298	unplaced-scaffold	na	na	PTTO01003152.1	<>	na	Primary Assembly	67001	na
Contig3299	unplaced-scaffold	na	na	PTTO01002612.1	<>	na	Primary Assembly	24649	na
Contig33	unplaced-scaffold	na	na	PTTO01004497.1	<>	na	Primary Assembly	1048824	na
Contig330	unplaced-scaffold	na	na	PTTO01002717.1	<>	na	Primary Assembly	579730	na
Contig3300	unplaced-scaffold	na	na	PTTO01001787.1	<>	na	Primary Assembly	109709	na
Contig3301	unplaced-scaffold	na	na	PTTO01000050.1	<>	na	Primary Assembly	167123	na
Contig3302	unplaced-scaffold	na	na	PTTO01000491.1	<>	na	Primary Assembly	32720	na
Contig3303	unplaced-scaffold	na	na	PTTO01000981.1	<>	na	Primary Assembly	20103	na
Contig3304	unplaced-scaffold	na	na	PTTO01003759.1	<>	na	Primary Assembly	4252	na
Contig3305	unplaced-scaffold	na	na	PTTO01003839.1	<>	na	Primary Assembly	664625	na
Contig3306	unplaced-scaffold	na	na	PTTO01000965.1	<>	na	Primary Assembly	32157	na
Contig3308	unplaced-scaffold	na	na	PTTO01003685.1	<>	na	Primary Assembly	19336	na
Contig3309	unplaced-scaffold	na	na	PTTO01002958.1	<>	na	Primary Assembly	15781	na
Contig331	unplaced-scaffold	na	na	PTTO01003385.1	<>	na	Primary Assembly	151117	na
Contig3310	unplaced-scaffold	na	na	PTTO01001254.1	<>	na	Primary Assembly	25169	na
Contig3311	unplaced-scaffold	na	na	PTTO01000659.1	<>	na	Primary Assembly	24007224	na
Contig3312	unplaced-scaffold	na	na	PTTO01000040.1	<>	na	Primary Assembly	2970	na
Contig3313	unplaced-scaffold	na	na	PTTO01002786.1	<>	na	Primary Assembly	25981	na
Contig3314	unplaced-scaffold	na	na	PTTO01004458.1	<>	na	Primary Assembly	41018	na
Contig3315	unplaced-scaffold	na	na	PTTO01002921.1	<>	na	Primary Assembly	15387	na
Contig3316	unplaced-scaffold	na	na	PTTO01003647.1	<>	na	Primary Assembly	37656	na
Contig3317	unplaced-scaffold	na	na	PTTO01001980.1	<>	na	Primary Assembly	32931	na
Contig3318	unplaced-scaffold	na	na	PTTO01002584.1	<>	na	Primary Assembly	24164	na
Contig3319	unplaced-scaffold	na	na	PTTO01001006.1	<>	na	Primary Assembly	103773	na
Contig332	unplaced-scaffold	na	na	PTTO01004255.1	<>	na	Primary Assembly	258523	na
Contig3320	unplaced-scaffold	na	na	PTTO01003099.1	<>	na	Primary Assembly	30176	na
Contig3321	unplaced-scaffold	na	na	PTTO01000374.1	<>	na	Primary Assembly	29870	na
Contig3322	unplaced-scaffold	na	na	PTTO01004319.1	<>	na	Primary Assembly	44803	na
Contig3323	unplaced-scaffold	na	na	PTTO01001658.1	<>	na	Primary Assembly	5636	na
Contig3324	unplaced-scaffold	na	na	PTTO01001045.1	<>	na	Primary Assembly	33310	na
Contig3325	unplaced-scaffold	na	na	PTTO01002944.1	<>	na	Primary Assembly	40764	na
Contig3326	unplaced-scaffold	na	na	PTTO01002241.1	<>	na	Primary Assembly	6942	na
Contig3327	unplaced-scaffold	na	na	PTTO01004263.1	<>	na	Primary Assembly	50332	na
Contig3328	unplaced-scaffold	na	na	PTTO01003634.1	<>	na	Primary Assembly	55200	na
Contig3329	unplaced-scaffold	na	na	PTTO01002900.1	<>	na	Primary Assembly	7081	na
Contig333	unplaced-scaffold	na	na	PTTO01000332.1	<>	na	Primary Assembly	7714750	na
Contig3330	unplaced-scaffold	na	na	PTTO01003466.1	<>	na	Primary Assembly	12346	na
Contig3331	unplaced-scaffold	na	na	PTTO01001426.1	<>	na	Primary Assembly	52094	na
Contig3332	unplaced-scaffold	na	na	PTTO01000942.1	<>	na	Primary Assembly	47599	na
Contig3333	unplaced-scaffold	na	na	PTTO01002431.1	<>	na	Primary Assembly	55621	na
Contig3334	unplaced-scaffold	na	na	PTTO01001975.1	<>	na	Primary Assembly	42295	na
Contig3335	unplaced-scaffold	na	na	PTTO01003469.1	<>	na	Primary Assembly	23528	na
Contig3336	unplaced-scaffold	na	na	PTTO01002941.1	<>	na	Primary Assembly	21970	na
Contig3337	unplaced-scaffold	na	na	PTTO01001021.1	<>	na	Primary Assembly	107187	na
Contig3338	unplaced-scaffold	na	na	PTTO01000516.1	<>	na	Primary Assembly	24119	na
Contig3339	unplaced-scaffold	na	na	PTTO01003496.1	<>	na	Primary Assembly	17559	na
Contig334	unplaced-scaffold	na	na	PTTO01000765.1	<>	na	Primary Assembly	32116745	na
Contig3340	unplaced-scaffold	na	na	PTTO01003540.1	<>	na	Primary Assembly	48822	na
Contig3341	unplaced-scaffold	na	na	PTTO01001217.1	<>	na	Primary Assembly	32710	na
Contig3342	unplaced-scaffold	na	na	PTTO01002903.1	<>	na	Primary Assembly	69759	na
Contig3343	unplaced-scaffold	na	na	PTTO01002013.1	<>	na	Primary Assembly	57938	na
Contig3344	unplaced-scaffold	na	na	PTTO01001890.1	<>	na	Primary Assembly	17759	na
Contig3345	unplaced-scaffold	na	na	PTTO01003567.1	<>	na	Primary Assembly	19509	na
Contig3346	unplaced-scaffold	na	na	PTTO01000738.1	<>	na	Primary Assembly	82310	na
Contig3347	unplaced-scaffold	na	na	PTTO01002775.1	<>	na	Primary Assembly	46435	na
Contig3348	unplaced-scaffold	na	na	PTTO01004016.1	<>	na	Primary Assembly	36124	na
Contig3349	unplaced-scaffold	na	na	PTTO01001764.1	<>	na	Primary Assembly	26282	na
Contig335	unplaced-scaffold	na	na	PTTO01001275.1	<>	na	Primary Assembly	265863	na
Contig3350	unplaced-scaffold	na	na	PTTO01001290.1	<>	na	Primary Assembly	17741	na
Contig3351	unplaced-scaffold	na	na	PTTO01004139.1	<>	na	Primary Assembly	33113	na
Contig3352	unplaced-scaffold	na	na	PTTO01002594.1	<>	na	Primary Assembly	49331	na
Contig3353	unplaced-scaffold	na	na	PTTO01000816.1	<>	na	Primary Assembly	43988	na
Contig3354	unplaced-scaffold	na	na	PTTO01003891.1	<>	na	Primary Assembly	10523	na
Contig3355	unplaced-scaffold	na	na	PTTO01001670.1	<>	na	Primary Assembly	59408	na
Contig3356	unplaced-scaffold	na	na	PTTO01000068.1	<>	na	Primary Assembly	30730	na
Contig3357	unplaced-scaffold	na	na	PTTO01002945.1	<>	na	Primary Assembly	34318	na
Contig3358	unplaced-scaffold	na	na	PTTO01001299.1	<>	na	Primary Assembly	180235	na
Contig3359	unplaced-scaffold	na	na	PTTO01003678.1	<>	na	Primary Assembly	33141	na
Contig336	unplaced-scaffold	na	na	PTTO01001236.1	<>	na	Primary Assembly	12935887	na
Contig3360	unplaced-scaffold	na	na	PTTO01000101.1	<>	na	Primary Assembly	9105	na
Contig3361	unplaced-scaffold	na	na	PTTO01004227.1	<>	na	Primary Assembly	7025	na
Contig3362	unplaced-scaffold	na	na	PTTO01003535.1	<>	na	Primary Assembly	21976	na
Contig3363	unplaced-scaffold	na	na	PTTO01000896.1	<>	na	Primary Assembly	83219	na
Contig3364	unplaced-scaffold	na	na	PTTO01000379.1	<>	na	Primary Assembly	6431	na
Contig3365	unplaced-scaffold	na	na	PTTO01001506.1	<>	na	Primary Assembly	21612	na
Contig3366	unplaced-scaffold	na	na	PTTO01003285.1	<>	na	Primary Assembly	44202	na
Contig3367	unplaced-scaffold	na	na	PTTO01002782.1	<>	na	Primary Assembly	22578	na
Contig3368	unplaced-scaffold	na	na	PTTO01002305.1	<>	na	Primary Assembly	72724	na
Contig3369	unplaced-scaffold	na	na	PTTO01003476.1	<>	na	Primary Assembly	37192	na
Contig337	unplaced-scaffold	na	na	PTTO01001722.1	<>	na	Primary Assembly	4436979	na
Contig3370	unplaced-scaffold	na	na	PTTO01001125.1	<>	na	Primary Assembly	28132	na
Contig3371	unplaced-scaffold	na	na	PTTO01000723.1	<>	na	Primary Assembly	42565	na
Contig3372	unplaced-scaffold	na	na	PTTO01000248.1	<>	na	Primary Assembly	20288	na
Contig3373	unplaced-scaffold	na	na	PTTO01001905.1	<>	na	Primary Assembly	2704	na
Contig3374	unplaced-scaffold	na	na	PTTO01001344.1	<>	na	Primary Assembly	6167	na
Contig3375	unplaced-scaffold	na	na	PTTO01001386.1	<>	na	Primary Assembly	24391	na
Contig3376	unplaced-scaffold	na	na	PTTO01003070.1	<>	na	Primary Assembly	21213	na
Contig3377	unplaced-scaffold	na	na	PTTO01002778.1	<>	na	Primary Assembly	53465	na
Contig3378	unplaced-scaffold	na	na	PTTO01004460.1	<>	na	Primary Assembly	51962	na
Contig3379	unplaced-scaffold	na	na	PTTO01003524.1	<>	na	Primary Assembly	21807	na
Contig338	unplaced-scaffold	na	na	PTTO01003325.1	<>	na	Primary Assembly	1278987	na
Contig3380	unplaced-scaffold	na	na	PTTO01001197.1	<>	na	Primary Assembly	16532	na
Contig3381	unplaced-scaffold	na	na	PTTO01001819.1	<>	na	Primary Assembly	19151	na
Contig3382	unplaced-scaffold	na	na	PTTO01002490.1	<>	na	Primary Assembly	29233	na
Contig3383	unplaced-scaffold	na	na	PTTO01002569.1	<>	na	Primary Assembly	4468	na
Contig3384	unplaced-scaffold	na	na	PTTO01003192.1	<>	na	Primary Assembly	80096	na
Contig3385	unplaced-scaffold	na	na	PTTO01001309.1	<>	na	Primary Assembly	43154	na
Contig3386	unplaced-scaffold	na	na	PTTO01001838.1	<>	na	Primary Assembly	27081	na
Contig3387	unplaced-scaffold	na	na	PTTO01002082.1	<>	na	Primary Assembly	2221	na
Contig3388	unplaced-scaffold	na	na	PTTO01002556.1	<>	na	Primary Assembly	36235	na
Contig3389	unplaced-scaffold	na	na	PTTO01002824.1	<>	na	Primary Assembly	41249	na
Contig339	unplaced-scaffold	na	na	PTTO01003825.1	<>	na	Primary Assembly	37728	na
Contig3390	unplaced-scaffold	na	na	PTTO01000369.1	<>	na	Primary Assembly	72363	na
Contig3391	unplaced-scaffold	na	na	PTTO01004331.1	<>	na	Primary Assembly	138289	na
Contig3392	unplaced-scaffold	na	na	PTTO01003657.1	<>	na	Primary Assembly	15785	na
Contig3393	unplaced-scaffold	na	na	PTTO01002992.1	<>	na	Primary Assembly	19273	na
Contig3394	unplaced-scaffold	na	na	PTTO01002256.1	<>	na	Primary Assembly	17213	na
Contig3395	unplaced-scaffold	na	na	PTTO01001746.1	<>	na	Primary Assembly	12703	na
Contig3396	unplaced-scaffold	na	na	PTTO01001127.1	<>	na	Primary Assembly	85644	na
Contig3397	unplaced-scaffold	na	na	PTTO01000801.1	<>	na	Primary Assembly	31527	na
Contig3398	unplaced-scaffold	na	na	PTTO01000187.1	<>	na	Primary Assembly	32019	na
Contig3399	unplaced-scaffold	na	na	PTTO01004419.1	<>	na	Primary Assembly	30201	na
Contig34	unplaced-scaffold	na	na	PTTO01000230.1	<>	na	Primary Assembly	16820818	na
Contig340	unplaced-scaffold	na	na	PTTO01003436.1	<>	na	Primary Assembly	30066	na
Contig3400	unplaced-scaffold	na	na	PTTO01001369.1	<>	na	Primary Assembly	179907	na
Contig3401	unplaced-scaffold	na	na	PTTO01003886.1	<>	na	Primary Assembly	28083	na
Contig3402	unplaced-scaffold	na	na	PTTO01003234.1	<>	na	Primary Assembly	30329	na
Contig3403	unplaced-scaffold	na	na	PTTO01000631.1	<>	na	Primary Assembly	12717	na
Contig3404	unplaced-scaffold	na	na	PTTO01000045.1	<>	na	Primary Assembly	29545	na
Contig3405	unplaced-scaffold	na	na	PTTO01001912.1	<>	na	Primary Assembly	746090	na
Contig3406	unplaced-scaffold	na	na	PTTO01001277.1	<>	na	Primary Assembly	13866	na
Contig3407	unplaced-scaffold	na	na	PTTO01003113.1	<>	na	Primary Assembly	16940	na
Contig3408	unplaced-scaffold	na	na	PTTO01001909.1	<>	na	Primary Assembly	46544	na
Contig3409	unplaced-scaffold	na	na	PTTO01004441.1	<>	na	Primary Assembly	89319	na
Contig341	unplaced-scaffold	na	na	PTTO01003838.1	<>	na	Primary Assembly	78193	na
Contig3410	unplaced-scaffold	na	na	PTTO01001154.1	<>	na	Primary Assembly	16931	na
Contig3411	unplaced-scaffold	na	na	PTTO01003352.1	<>	na	Primary Assembly	127973	na
Contig3412	unplaced-scaffold	na	na	PTTO01002697.1	<>	na	Primary Assembly	9871	na
Contig3413	unplaced-scaffold	na	na	PTTO01004372.1	<>	na	Primary Assembly	35890	na
Contig3414	unplaced-scaffold	na	na	PTTO01003749.1	<>	na	Primary Assembly	115091	na
Contig3415	unplaced-scaffold	na	na	PTTO01000462.1	<>	na	Primary Assembly	16334	na
Contig3416	unplaced-scaffold	na	na	PTTO01002195.1	<>	na	Primary Assembly	34676	na
Contig3417	unplaced-scaffold	na	na	PTTO01002836.1	<>	na	Primary Assembly	33740	na
Contig3418	unplaced-scaffold	na	na	PTTO01002321.1	<>	na	Primary Assembly	29661	na
Contig3419	unplaced-scaffold	na	na	PTTO01002317.1	<>	na	Primary Assembly	151153	na
Contig342	unplaced-scaffold	na	na	PTTO01002720.1	<>	na	Primary Assembly	137185	na
Contig3420	unplaced-scaffold	na	na	PTTO01003350.1	<>	na	Primary Assembly	9605	na
Contig3421	unplaced-scaffold	na	na	PTTO01000241.1	<>	na	Primary Assembly	55406	na
Contig3422	unplaced-scaffold	na	na	PTTO01001845.1	<>	na	Primary Assembly	21888	na
Contig3423	unplaced-scaffold	na	na	PTTO01002505.1	<>	na	Primary Assembly	31123	na
Contig3424	unplaced-scaffold	na	na	PTTO01004183.1	<>	na	Primary Assembly	37683	na
Contig3425	unplaced-scaffold	na	na	PTTO01001153.1	<>	na	Primary Assembly	377980	na
Contig3426	unplaced-scaffold	na	na	PTTO01003362.1	<>	na	Primary Assembly	35801	na
Contig3427	unplaced-scaffold	na	na	PTTO01002181.1	<>	na	Primary Assembly	28556	na
Contig3428	unplaced-scaffold	na	na	PTTO01001536.1	<>	na	Primary Assembly	12834	na
Contig343	unplaced-scaffold	na	na	PTTO01002744.1	<>	na	Primary Assembly	128050	na
Contig3430	unplaced-scaffold	na	na	PTTO01000673.1	<>	na	Primary Assembly	18563	na
Contig3431	unplaced-scaffold	na	na	PTTO01000214.1	<>	na	Primary Assembly	118378	na
Contig3432	unplaced-scaffold	na	na	PTTO01001799.1	<>	na	Primary Assembly	2018	na
Contig3433	unplaced-scaffold	na	na	PTTO01001603.1	<>	na	Primary Assembly	11614	na
Contig3434	unplaced-scaffold	na	na	PTTO01002587.1	<>	na	Primary Assembly	9200	na
Contig3435	unplaced-scaffold	na	na	PTTO01004405.1	<>	na	Primary Assembly	22136	na
Contig3436	unplaced-scaffold	na	na	PTTO01000744.1	<>	na	Primary Assembly	6203	na
Contig3437	unplaced-scaffold	na	na	PTTO01000161.1	<>	na	Primary Assembly	53425	na
Contig3438	unplaced-scaffold	na	na	PTTO01000150.1	<>	na	Primary Assembly	27013	na
Contig3439	unplaced-scaffold	na	na	PTTO01001766.1	<>	na	Primary Assembly	4680	na
Contig344	unplaced-scaffold	na	na	PTTO01001180.1	<>	na	Primary Assembly	353849	na
Contig3440	unplaced-scaffold	na	na	PTTO01003241.1	<>	na	Primary Assembly	27974	na
Contig3441	unplaced-scaffold	na	na	PTTO01001898.1	<>	na	Primary Assembly	19235	na
Contig3442	unplaced-scaffold	na	na	PTTO01004567.1	<>	na	Primary Assembly	28336	na
Contig3443	unplaced-scaffold	na	na	PTTO01002592.1	<>	na	Primary Assembly	24893	na
Contig3444	unplaced-scaffold	na	na	PTTO01000224.1	<>	na	Primary Assembly	19727	na
Contig3445	unplaced-scaffold	na	na	PTTO01000684.1	<>	na	Primary Assembly	35278	na
Contig3446	unplaced-scaffold	na	na	PTTO01001189.1	<>	na	Primary Assembly	16739	na
Contig3447	unplaced-scaffold	na	na	PTTO01001680.1	<>	na	Primary Assembly	30939	na
Contig3448	unplaced-scaffold	na	na	PTTO01002716.1	<>	na	Primary Assembly	24379	na
Contig3449	unplaced-scaffold	na	na	PTTO01001203.1	<>	na	Primary Assembly	43459	na
Contig345	unplaced-scaffold	na	na	PTTO01000663.1	<>	na	Primary Assembly	242541	na
Contig3450	unplaced-scaffold	na	na	PTTO01001709.1	<>	na	Primary Assembly	48312	na
Contig3451	unplaced-scaffold	na	na	PTTO01002176.1	<>	na	Primary Assembly	7928	na
Contig3452	unplaced-scaffold	na	na	PTTO01000769.1	<>	na	Primary Assembly	14109	na
Contig3453	unplaced-scaffold	na	na	PTTO01000146.1	<>	na	Primary Assembly	36479	na
Contig3454	unplaced-scaffold	na	na	PTTO01003105.1	<>	na	Primary Assembly	27481	na
Contig3455	unplaced-scaffold	na	na	PTTO01002382.1	<>	na	Primary Assembly	40857	na
Contig3456	unplaced-scaffold	na	na	PTTO01002078.1	<>	na	Primary Assembly	22273	na
Contig3457	unplaced-scaffold	na	na	PTTO01001479.1	<>	na	Primary Assembly	19858	na
Contig3458	unplaced-scaffold	na	na	PTTO01000012.1	<>	na	Primary Assembly	38975	na
Contig3459	unplaced-scaffold	na	na	PTTO01000478.1	<>	na	Primary Assembly	30225	na
Contig346	unplaced-scaffold	na	na	PTTO01002332.1	<>	na	Primary Assembly	2850001	na
Contig3460	unplaced-scaffold	na	na	PTTO01001301.1	<>	na	Primary Assembly	21161	na
Contig3461	unplaced-scaffold	na	na	PTTO01002614.1	<>	na	Primary Assembly	10812	na
Contig3462	unplaced-scaffold	na	na	PTTO01003174.1	<>	na	Primary Assembly	55549	na
Contig3463	unplaced-scaffold	na	na	PTTO01003167.1	<>	na	Primary Assembly	39349	na
Contig3464	unplaced-scaffold	na	na	PTTO01002541.1	<>	na	Primary Assembly	98928	na
Contig3465	unplaced-scaffold	na	na	PTTO01000211.1	<>	na	Primary Assembly	37617	na
Contig3466	unplaced-scaffold	na	na	PTTO01001801.1	<>	na	Primary Assembly	50830	na
Contig3467	unplaced-scaffold	na	na	PTTO01003441.1	<>	na	Primary Assembly	8413	na
Contig3468	unplaced-scaffold	na	na	PTTO01000551.1	<>	na	Primary Assembly	7918	na
Contig3469	unplaced-scaffold	na	na	PTTO01002723.1	<>	na	Primary Assembly	34327	na
Contig347	unplaced-scaffold	na	na	PTTO01004264.1	<>	na	Primary Assembly	124553	na
Contig3470	unplaced-scaffold	na	na	PTTO01002492.1	<>	na	Primary Assembly	15428	na
Contig3471	unplaced-scaffold	na	na	PTTO01002071.1	<>	na	Primary Assembly	10394	na
Contig3472	unplaced-scaffold	na	na	PTTO01001571.1	<>	na	Primary Assembly	1466750	na
Contig3473	unplaced-scaffold	na	na	PTTO01001093.1	<>	na	Primary Assembly	28819	na
Contig3474	unplaced-scaffold	na	na	PTTO01001732.1	<>	na	Primary Assembly	43031	na
Contig3475	unplaced-scaffold	na	na	PTTO01003484.1	<>	na	Primary Assembly	28980	na
Contig3476	unplaced-scaffold	na	na	PTTO01000697.1	<>	na	Primary Assembly	24352	na
Contig3477	unplaced-scaffold	na	na	PTTO01002477.1	<>	na	Primary Assembly	5545	na
Contig3478	unplaced-scaffold	na	na	PTTO01004388.1	<>	na	Primary Assembly	86872	na
Contig3479	unplaced-scaffold	na	na	PTTO01001563.1	<>	na	Primary Assembly	80044	na
